season,week,celebrity_name,judge_share,is_eliminated,estimated_fan_share,implied_total_score,optimization_success,loss_value
3,1,Emmitt Smith,0.1218274111675127,0,0.11079331097988336,0.23262072214739604,True,-0.11485370643024488
3,1,Harry Hamlin,0.0862944162436548,0,0.09318946208600838,0.17948387832966317,True,-0.11485370643024488
3,1,Jerry Springer,0.0812182741116751,0,0.09071143361022274,0.17192970772189786,True,-0.11485370643024488
3,1,Joey Lawrence,0.1065989847715736,0,0.10319867731164582,0.20979766208321943,True,-0.11485370643024488
3,1,Mario Lopez,0.1319796954314721,0,0.11589196375891189,0.24787165919038398,True,-0.11485370643024488
3,1,Monique Coleman,0.0964467005076142,0,0.09817577561163185,0.19462247611924605,True,-0.11485370643024488
3,1,Shanna Moakler,0.0913705583756345,0,0.09567777632957285,0.18704833470520735,True,-0.11485370643024488
3,1,Tucker Carlson,0.0609137055837563,1,0.08091637642199408,0.14183008200575037,True,-0.11485370643024488
3,1,Vivica A. Fox,0.1116751269035533,0,0.10572261194506448,0.2173977388486178,True,-0.11485370643024488
3,1,Willa Ford,0.1116751269035533,0,0.10572261194506447,0.21739773884861777,True,-0.11485370643024488
3,2,Emmitt Smith,0.1148325358851674,0,0.11530153934502675,0.23013407523019414,True,-0.10842613476374895
3,2,Harry Hamlin,0.1004784688995215,0,0.10446832483525817,0.20494679373477967,True,-0.10842613476374895
3,2,Jerry Springer,0.0909090909090909,0,0.11135954192407828,0.20226863283316918,True,-0.10842613476374895
3,2,Joey Lawrence,0.138755980861244,0,0.12090633927791006,0.259662320139154,True,-0.10842613476374895
3,2,Mario Lopez,0.1004784688995215,0,0.11213301052051589,0.21261147942003739,True,-0.10842613476374895
3,2,Monique Coleman,0.124401913875598,0,0.1142905557592936,0.2386924696348916,True,-0.10842613476374895
3,2,Shanna Moakler,0.1052631578947368,1,0.09600547493843238,0.20126863283316918,True,-0.10842613476374895
3,2,Vivica A. Fox,0.1148325358851674,0,0.11358308955708979,0.2284156254422572,True,-0.10842613476374895
3,2,Willa Ford,0.1100478468899521,0,0.11195212384239508,0.22199997073234717,True,-0.10842613476374895
3,3,Emmitt Smith,0.1043956043956044,0,0.12851640113570817,0.23291200553131258,True,-0.10289578964812045
3,3,Harry Hamlin,0.1208791208791208,1,0.11103288465219176,0.23191200553131255,True,-0.10289578964812045
3,3,Jerry Springer,0.1153846153846153,0,0.12121334441287289,0.23659795979748818,True,-0.10289578964812045
3,3,Joey Lawrence,0.1208791208791208,0,0.12643420497346577,0.24731332585258659,True,-0.10289578964812045
3,3,Mario Lopez,0.1208791208791208,0,0.1233363397982003,0.24421546067732108,True,-0.10289578964812045
3,3,Monique Coleman,0.1483516483516483,0,0.13322440234894778,0.2815760507005961,True,-0.10289578964812045
3,3,Vivica A. Fox,0.1483516483516483,0,0.13296962494985368,0.281321273301502,True,-0.10289578964812045
3,3,Willa Ford,0.1208791208791208,0,0.12327279772875968,0.2441519186078805,True,-0.10289578964812045
3,4,Emmitt Smith,0.1348314606741573,0,0.14070574150329143,0.2755372021774487,True,-0.09616654731682361
3,4,Jerry Springer,0.1235955056179775,0,0.14444781827568798,0.2680433238936655,True,-0.09616654731682361
3,4,Joey Lawrence,0.1516853932584269,0,0.14560952278719472,0.29729491604562164,True,-0.09616654731682361
3,4,Mario Lopez,0.1629213483146067,0,0.14827224671094466,0.31119359502555133,True,-0.09616654731682361
3,4,Monique Coleman,0.1348314606741573,0,0.14238194369829812,0.27721340437245545,True,-0.09616654731682361
3,4,Vivica A. Fox,0.1348314606741573,1,0.13221186321950817,0.2670433238936655,True,-0.09616654731682361
3,4,Willa Ford,0.1573033707865168,0,0.14637086380507497,0.30367423459159176,True,-0.09616654731682361
3,5,Emmitt Smith,0.1719745222929936,0,0.16702435956553374,0.33899888185852733,True,-0.08827149168134851
3,5,Jerry Springer,0.1528662420382165,0,0.17408830010333703,0.3269545421415535,True,-0.08827149168134851
3,5,Joey Lawrence,0.1592356687898089,0,0.16771887335174462,0.3269545421415535,True,-0.08827149168134851
3,5,Mario Lopez,0.1719745222929936,0,0.1696062672258154,0.341580789518809,True,-0.08827149168134851
3,5,Monique Coleman,0.1719745222929936,0,0.1675821799050093,0.3395567021980029,True,-0.08827149168134851
3,5,Willa Ford,0.1719745222929936,1,0.15398001984855994,0.3259545421415535,True,-0.08827149168134851
3,6,Emmitt Smith,0.211864406779661,0,0.20295656245735955,0.41482096923702055,True,-0.07957094456447103
3,6,Jerry Springer,0.1525423728813559,0,0.18670045081007516,0.33924282369143105,True,-0.07957094456447103
3,6,Joey Lawrence,0.2033898305084746,0,0.20050386933737316,0.4038936998458478,True,-0.07957094456447103
3,6,Mario Lopez,0.2372881355932203,0,0.21209874459710296,0.44938688019032325,True,-0.07957094456447103
3,6,Monique Coleman,0.1949152542372881,0,0.19774037279808915,0.39265562703537726,True,-0.07957094456447103
3,7,Emmitt Smith,0.2111111111111111,0,0.20449779380951927,0.4156089049206304,True,-0.08036382971262958
3,7,Jerry Springer,0.1703703703703703,1,0.18628047411367452,0.3566508444840448,True,-0.08036382971262958
3,7,Joey Lawrence,0.2111111111111111,0,0.20371234539486016,0.4148234565059713,True,-0.08036382971262958
3,7,Mario Lopez,0.2074074074074074,0,0.20623911458406502,0.41364652199147245,True,-0.08036382971262958
3,7,Monique Coleman,0.2,0,0.19927027209788103,0.399270272097881,True,-0.08036382971262958
3,8,Emmitt Smith,0.2477064220183486,0,0.2497323116851499,0.4974387337034985,True,-0.06930115826037549
3,8,Joey Lawrence,0.2477064220183486,0,0.24942090436958006,0.49712732638792867,True,-0.06930115826037549
3,8,Mario Lopez,0.2614678899082568,0,0.2545674304883715,0.5160353203966284,True,-0.06930115826037549
3,8,Monique Coleman,0.2431192660550458,1,0.24627935345689855,0.48939861951194435,True,-0.06930115826037549
3,9,Emmitt Smith,0.3333333333333333,0,0.3326826594406584,0.6660159927739917,True,-0.05491083239264155
3,9,Joey Lawrence,0.3333333333333333,0,0.3325482843498436,0.665881617683177,True,-0.05491083239264155
3,9,Mario Lopez,0.3333333333333333,0,0.33476905620949815,0.6681023895428315,True,-0.05491083239264155
3,10,Emmitt Smith,0.5,0,0.4994875551127209,0.9994875551127209,True,-0.03465407511723303
3,10,Mario Lopez,0.5,0,0.5005124448872791,1.000512444887279,True,-0.03465407511723303
4,1,Apolo Anton Ohno,0.1019417475728155,0,0.09631552254278865,0.19825727011560415,True,-0.11969011208830732
4,1,Billy Ray Cyrus,0.0631067961165048,0,0.07734632431470208,0.1404531204312069,True,-0.11969011208830732
4,1,Clyde Drexler,0.0776699029126213,0,0.08437564728877633,0.16204555020139763,True,-0.11969011208830732
4,1,Heather Mills,0.087378640776699,0,0.08912141644850238,0.1765000572252014,True,-0.11969011208830732
4,1,Ian Ziering,0.1019417475728155,0,0.09631552254278863,0.19825727011560412,True,-0.11969011208830732
4,1,Joey Fatone,0.116504854368932,0,0.10358720530079446,0.22009205966972645,True,-0.11969011208830732
4,1,John Ratzenberger,0.0825242718446602,0,0.08674308294457454,0.16926735478923474,True,-0.11969011208830732
4,1,Laila Ali,0.1116504854368932,0,0.10115546409683482,0.212805949533728,True,-0.11969011208830732
