season,week,name,judge_share,pity_score,est_fan_share,success,total_implied
3,1,Emmitt Smith,0.1218274111675127,1.2793800525277985e-12,0.09886531970144864,True,0.22069273086896135
3,1,Harry Hamlin,0.0862944162436548,0.9999999659354979,0.10498383887696029,True,0.19127825512061508
3,1,Jerry Springer,0.0812182741116751,0.9999999999415898,0.10498383999577943,True,0.18620211410745452
3,1,Joey Lawrence,0.1065989847715736,0.000253706465335348,0.08748808310851024,True,0.19408706788008384
3,1,Mario Lopez,0.1319796954314721,3.761590115211987e-18,0.10646691153686945,True,0.23844660696834152
3,1,Monique Coleman,0.0964467005076142,0.9885467855729345,0.10469599135355374,True,0.20114269186116795
3,1,Shanna Moakler,0.0913705583756345,0.9999801341348394,0.10498326519629532,True,0.19635382357192982
3,1,Tucker Carlson,0.0609137055837563,1.0,0.10498383999808962,True,0.1658975455818459
3,1,Vivica A. Fox,0.1116751269035533,4.35138480386376e-07,0.09127445511624664,True,0.20294958201979996
3,1,Willa Ford,0.1116751269035533,4.35138480386376e-07,0.09127445511624663,True,0.20294958201979993
3,2,Emmitt Smith,0.1148325358851674,0.0010108366836851037,0.09932111938879971,True,0.21415365527396713
3,2,Harry Hamlin,0.1004784688995215,0.9999999972253986,0.11919129225155306,True,0.21966976115107456
3,2,Jerry Springer,0.0909090909090909,1.0,0.12324456436487619,True,0.21415365527396707
3,2,Joey Lawrence,0.138755980861244,5.653554884318647e-23,0.11345716693726847,True,0.25221314779851245
3,2,Mario Lopez,0.1004784688995215,0.9999999972253986,0.1191202232886704,True,0.2195986921881919
3,2,Monique Coleman,0.124401913875598,2.013727844719683e-11,0.10378365258022024,True,0.22818556645581822
3,2,Shanna Moakler,0.1052631578947368,0.9999803323804141,0.10789049737923032,True,0.21315365527396712
3,2,Vivica A. Fox,0.1148325358851674,0.0010108366836851037,0.0993211193887997,True,0.2141536552739671
3,2,Willa Ford,0.1100478468899521,0.8776407411973872,0.11467036442058197,True,0.22471821131053407
3,3,Emmitt Smith,0.1043956043956044,0.9999999999999996,0.136174966417239,True,0.2405705708128434
3,3,Harry Hamlin,0.1208791208791208,0.9991908238930963,0.11869144993372262,True,0.23957057081284341
3,3,Jerry Springer,0.1153846153846153,0.9999999388700456,0.128373129698583,True,0.2437577450831983
3,3,Joey Lawrence,0.1208791208791208,0.9991908238930963,0.12775115399813824,True,0.24863027487725903
3,3,Mario Lopez,0.1208791208791208,0.9991908238930963,0.12801853529521695,True,0.24889765617433773
3,3,Monique Coleman,0.1483516483516483,3.0262361171969985e-18,0.11668923331010629,True,0.2650408816617546
3,3,Vivica A. Fox,0.1483516483516483,3.0262361171969985e-18,0.116482961182248,True,0.2648346095338963
3,3,Willa Ford,0.1208791208791208,0.9991908238930963,0.127818570164746,True,0.2486976910438668
3,4,Emmitt Smith,0.1348314606741573,0.9999996922576052,0.15291954864102936,True,0.28775100931518666
3,4,Jerry Springer,0.1235955056179775,0.9999999999999998,0.15679220928297818,True,0.2803877149009557
