season,week,name,judge_share,pity_score,is_eliminated,est_fan_share,success,implied_total_score,loss_value
3,1.0,Emmitt Smith,0.1218274111675127,1.2793800525277985e-12,0,0.09886531970144864,True,0.22069273086896135,-0.11448546736789958
3,1.0,Harry Hamlin,0.0862944162436548,0.9999999659354979,0,0.10498383887696029,True,0.19127825512061508,-0.11448546736789958
3,1.0,Jerry Springer,0.0812182741116751,0.9999999999415898,0,0.10498383999577943,True,0.18620211410745452,-0.11448546736789958
3,1.0,Joey Lawrence,0.1065989847715736,0.000253706465335348,0,0.08748808310851024,True,0.19408706788008384,-0.11448546736789958
3,1.0,Mario Lopez,0.1319796954314721,3.761590115211987e-18,0,0.10646691153686945,True,0.23844660696834152,-0.11448546736789958
3,1.0,Monique Coleman,0.0964467005076142,0.9885467855729345,0,0.10469599135355374,True,0.20114269186116795,-0.11448546736789958
3,1.0,Shanna Moakler,0.0913705583756345,0.9999801341348394,0,0.10498326519629532,True,0.19635382357192982,-0.11448546736789958
3,1.0,Tucker Carlson,0.0609137055837563,1.0,1,0.10498383999808962,True,0.1658975455818459,-0.11448546736789958
3,1.0,Vivica A. Fox,0.1116751269035533,4.35138480386376e-07,0,0.09127445511624664,True,0.20294958201979996,-0.11448546736789958
3,1.0,Willa Ford,0.1116751269035533,4.35138480386376e-07,0,0.09127445511624663,True,0.20294958201979993,-0.11448546736789958
3,2.0,Emmitt Smith,0.1148325358851674,0.0010108366836851037,0,0.09932111938879971,True,0.21415365527396713,-0.10604524071217893
3,2.0,Harry Hamlin,0.1004784688995215,0.9999999972253986,0,0.11919129225155306,True,0.21966976115107456,-0.10604524071217893
3,2.0,Jerry Springer,0.0909090909090909,1.0,0,0.12324456436487619,True,0.21415365527396707,-0.10604524071217893
3,2.0,Joey Lawrence,0.138755980861244,5.653554884318647e-23,0,0.11345716693726847,True,0.25221314779851245,-0.10604524071217893
3,2.0,Mario Lopez,0.1004784688995215,0.9999999972253986,0,0.1191202232886704,True,0.2195986921881919,-0.10604524071217893
3,2.0,Monique Coleman,0.124401913875598,2.013727844719683e-11,0,0.10378365258022024,True,0.22818556645581822,-0.10604524071217893
3,2.0,Shanna Moakler,0.1052631578947368,0.9999803323804141,1,0.10789049737923032,True,0.21315365527396712,-0.10604524071217893
3,2.0,Vivica A. Fox,0.1148325358851674,0.0010108366836851037,0,0.0993211193887997,True,0.2141536552739671,-0.10604524071217893
3,2.0,Willa Ford,0.1100478468899521,0.8776407411973872,0,0.11467036442058197,True,0.22471821131053407,-0.10604524071217893
3,3.0,Emmitt Smith,0.1043956043956044,0.9999999999999996,0,0.136174966417239,True,0.2405705708128434,-0.10061650446709251
3,3.0,Harry Hamlin,0.1208791208791208,0.9991908238930963,1,0.11869144993372262,True,0.23957057081284341,-0.10061650446709251
3,3.0,Jerry Springer,0.1153846153846153,0.9999999388700456,0,0.128373129698583,True,0.2437577450831983,-0.10061650446709251
3,3.0,Joey Lawrence,0.1208791208791208,0.9991908238930963,0,0.12775115399813824,True,0.24863027487725903,-0.10061650446709251
3,3.0,Mario Lopez,0.1208791208791208,0.9991908238930963,0,0.12801853529521695,True,0.24889765617433773,-0.10061650446709251
3,3.0,Monique Coleman,0.1483516483516483,3.0262361171969985e-18,0,0.11668923331010629,True,0.2650408816617546,-0.10061650446709251
3,3.0,Vivica A. Fox,0.1483516483516483,3.0262361171969985e-18,0,0.116482961182248,True,0.2648346095338963,-0.10061650446709251
3,3.0,Willa Ford,0.1208791208791208,0.9991908238930963,0,0.127818570164746,True,0.2486976910438668,-0.10061650446709251
3,4.0,Emmitt Smith,0.1348314606741573,0.9999996922576052,0,0.15291954864102936,True,0.28775100931518666,-0.09438719372387878
3,4.0,Jerry Springer,0.1235955056179775,0.9999999999999998,0,0.15679220928297818,True,0.2803877149009557,-0.09438719372387878
3,4.0,Joey Lawrence,0.1516853932584269,6.870782154191509e-08,0,0.12870232164252873,True,0.2803877149009556,-0.09438719372387878
3,4.0,Mario Lopez,0.1629213483146067,5.253740967845871e-17,0,0.13498273077059952,True,0.2979040790852062,-0.09438719372387878
3,4.0,Monique Coleman,0.1348314606741573,0.9999996922576052,0,0.15149691043391128,True,0.2863283711080686,-0.09438719372387878
3,4.0,Vivica A. Fox,0.1348314606741573,0.9999996922576052,1,0.14455625422679838,True,0.2793877149009557,-0.09438719372387878
3,4.0,Willa Ford,0.1573033707865168,1.8999292661741484e-12,0,0.13055002500215468,True,0.2878533957886715,-0.09438719372387878
3,5.0,Emmitt Smith,0.1719745222929936,3.49248122782931e-08,0,0.15493820238345185,True,0.32691272467644544,-0.0863505867476773
3,5.0,Jerry Springer,0.1528662420382165,1.0,0,0.1924092212193544,True,0.34527546325757086,-0.0863505867476773
3,5.0,Joey Lawrence,0.1592356687898089,0.9999999999636597,0,0.1903828905140068,True,0.3496185593038157,-0.0863505867476773
3,5.0,Mario Lopez,0.1719745222929936,3.49248122782931e-08,0,0.15426564870570658,True,0.3262401709987002,-0.0863505867476773
3,5.0,Monique Coleman,0.1719745222929936,3.49248122782931e-08,0,0.15492253165006653,True,0.3268970539430601,-0.0863505867476773
3,5.0,Willa Ford,0.1719745222929936,3.49248122782931e-08,1,0.15308150552741384,True,0.32505602782040743,-0.0863505867476773
3,6.0,Emmitt Smith,0.211864406779661,2.1879510940012266e-05,0,0.18067178403174977,True,0.3925361908114108,-0.07623004962172504
