season,week,celebrity_name,judge_share,is_danger_zone,is_eliminated,estimated_fan_share,implied_total_score,optimization_success
3,1,Emmitt Smith,0.1218274111675127,0,0,0.10593481507893983,0.22776222624645254,True
3,1,Harry Hamlin,0.0862944162436548,0,0,0.08982272717895365,0.17611714342260845,True
3,1,Jerry Springer,0.0812182741116751,1,0,0.1158748814321314,0.19709315554380652,True
3,1,Joey Lawrence,0.1065989847715736,0,0,0.0938051942994919,0.2004041790710655,True
3,1,Mario Lopez,0.1319796954314721,0,0,0.11407154937616089,0.24605124480763296,True
3,1,Monique Coleman,0.0964467005076142,0,0,0.08584782766559355,0.18229452817320774,True
3,1,Shanna Moakler,0.0913705583756345,0,0,0.08474658504697392,0.17611714342260842,True
3,1,Tucker Carlson,0.0609137055837563,1,1,0.11420343783885215,0.17511714342260845,True
3,1,Vivica A. Fox,0.1116751269035533,0,0,0.09784649038489171,0.209521617288445,True
3,1,Willa Ford,0.1116751269035533,0,0,0.0978464916980111,0.2095216186015644,True
3,2,Emmitt Smith,0.1148325358851674,0,0,0.10640264402609857,0.22123517991126596,True
3,2,Harry Hamlin,0.1004784688995215,1,0,0.12463901111632657,0.22511748001584808,True
3,2,Jerry Springer,0.0909090909090909,1,0,0.12646873011312237,0.21737782102221326,True
3,2,Joey Lawrence,0.138755980861244,0,0,0.1143203741793266,0.2530763550405706,True
3,2,Mario Lopez,0.1004784688995215,1,0,0.1261992913952082,0.2266777602947297,True
3,2,Monique Coleman,0.124401913875598,0,0,0.10385718024658507,0.22825909412218306,True
3,2,Shanna Moakler,0.1052631578947368,0,1,0.09362518576431914,0.19888834365905594,True
3,2,Vivica A. Fox,0.1148325358851674,0,0,0.10339101968472614,0.21822355556989353,True
3,2,Willa Ford,0.1100478468899521,0,0,0.10109656347428743,0.21114441036423953,True
3,3,Emmitt Smith,0.1043956043956044,1,0,0.1451541353856082,0.2495497397812126,True
3,3,Harry Hamlin,0.1208791208791208,0,1,0.11241383948853433,0.23329296036765512,True
3,3,Jerry Springer,0.1153846153846153,1,0,0.14617654588339976,0.26156116126801504,True
3,3,Joey Lawrence,0.1208791208791208,0,0,0.11341383948853434,0.23429296036765512,True
3,3,Mario Lopez,0.1208791208791208,0,0,0.11844953377213457,0.23932865465125536,True
